Constituency,Region,Con,Lab,UKIP,LD,SNP,Grn,DUP,PC,SF,UUP,SDLP,Alliance,Ind,Spk,Others,ValidVotes,WinningParty,SecondPlace,WinningVotes,SecondPlaceVotes,WinningPct,Majority,MajorityPct,TurnoutPct2015,RemainPct,LeavePct,LeaveMajority,2017_winner
Hendon,London,24328.0,20604.0,2595.0,1088.0,,1015.0,,,,,,,,,,49630,Conservative,Labour,24328,20604,49.0,3724,7.5,66.5,58.1,41.9,-16.2,Conservative
Henley,South East England,32292.0,6917.0,6007.0,6205.0,,3815.0,,,,,,,,,,55236,Conservative,Labour,32292,6917,58.5,25375,45.94,70.6,57.0,43.0,-14.0,Conservative
Hereford and South Herefordshire,West Midlands,24844.0,6042.0,7954.0,5002.0,,3415.0,,,,,,,,,,47257,Conservative,UKIP,24844,7954,52.6,16890,35.74,66.8,39.9,60.1,20.2,Conservative
Hertford and Stortford,East of England,31593.0,10084.0,7534.0,4385.0,,2681.0,,,,,,,,,,56277,Conservative,Labour,31593,10084,56.1,21509,38.22,71.3,50.8,49.2,-1.6,Conservative
Hertsmere,East of England,29696.0,11235.0,6383.0,2777.0,,,,,,,,,,,,50091,Conservative,Labour,29696,11235,59.3,18461,36.85,67.9,49.2,50.8,1.6,Conservative
Hexham,North East England,22834.0,10803.0,4302.0,2961.0,,2445.0,,,,,,,,,,43345,Conservative,Labour,22834,10803,52.7,12031,27.76,71.5,54.7,45.3,-9.4,Conservative
Heywood and Middleton,North West England,9268.0,20926.0,15627.0,1607.0,,1110.0,,,,,,,,,,48538,Labour,UKIP,20926,15627,43.1,5299,10.92,60.7,37.6,62.4,24.8,Labour
High Peak,East Midlands,22836.0,17942.0,5811.0,2389.0,,1811.0,,,,,,,,,,50789,Conservative,Labour,22836,17942,45.0,4894,9.64,69.3,49.5,50.5,1.0,Labour
Hitchin and Harpenden,East of England,31488.0,11433.0,4917.0,4484.0,,3053.0,,,,,,,,,,55375,Conservative,Labour,31488,11433,56.9,20055,36.22,74.0,60.3,39.7,-20.6,Conservative
Holborn and St Pancras,London,12014.0,29062.0,2740.0,3555.0,,7013.0,,,,,,,,,533.0,54917,Labour,Conservative,29062,12014,52.9,17048,31.04,63.2,73.3,26.7,-46.6,Labour
Hornchurch and Upminster,London,27051.0,11103.0,13977.0,1501.0,,1411.0,,,,,,,,,193.0,55236,Conservative,UKIP,27051,13977,49.0,13074,23.67,69.6,30.6,69.4,38.8,Conservative
Hornsey and Wood Green,London,5347.0,29417.0,1271.0,18359.0,,3146.0,,,,,,,,,245.0,57785,Labour,Liberal Democrat,29417,18359,50.9,11058,19.14,72.9,75.0,25.0,-50.0,Labour
Horsham,South East England,32627.0,6499.0,7969.0,6647.0,,2198.0,,,,,,,,,985.0,56925,Conservative,UKIP,32627,7969,57.3,24658,43.32,72.8,51.4,48.6,-2.8,Conservative
Houghton and Sunderland South,North East England,7105.0,21218.0,8280.0,791.0,,1095.0,,,,,,,,,,38489,Labour,UKIP,21218,8280,55.1,12938,33.61,56.3,37.4,62.6,25.2,Labour
Hove,South East England,20846.0,22082.0,3265.0,1861.0,,3569.0,,,,,,,,,591.0,52214,Labour,Conservative,22082,20846,42.3,1236,2.37,71.0,66.1,33.9,-32.2,Labour
Huddersfield,Yorkshire and the Humber,10841.0,18186.0,5948.0,2365.0,,2798.0,,,,,,,,,340.0,40478,Labour,Conservative,18186,10841,44.9,7345,18.15,62.0,49.0,51.0,2.0,Labour
Huntingdon,East of England,29652.0,10248.0,9473.0,4375.0,,2178.0,,,,,,,,,,55926,Conservative,Labour,29652,10248,53.0,19404,34.7,67.9,46.8,53.2,6.4,Conservative
Hyndburn,North West England,13676.0,18076.0,9154.0,859.0,,1122.0,,,,,,,,,,42887,Labour,Conservative,18076,13676,42.1,4400,10.26,62.8,34.3,65.7,31.4,Labour
Ilford North,London,20874.0,21463.0,4355.0,1130.0,,1023.0,,,,,,,,,87.0,48932,Labour,Conservative,21463,20874,43.9,589,1.2,62.6,47.5,52.5,5.0,Labour
Ilford South,London,13455.0,33232.0,2705.0,1014.0,,1506.0,,,,,,,,,,51912,Labour,Conservative,33232,13455,64.0,19777,38.1,54.6,56.2,43.8,-12.4,Labour
Inverclyde,Scotland,4446.0,13522.0,715.0,1106.0,24585.0,,,,,,,,,,233.0,44607,SNP,Labour,24585,13522,55.1,11063,24.8,75.2,63.8,36.2,-27.6,SNP
"Inverness, Nairn, Badenoch and Strathspey",Scotland,3410.0,4311.0,1236.0,18029.0,28838.0,1367.0,,,,,,,,,422.0,57613,SNP,Liberal Democrat,28838,18029,50.1,10809,18.76,74.2,58.7,41.3,-17.4,SNP
Ipswich,East of England,21794.0,18061.0,5703.0,1400.0,,1736.0,,,,,,,,,,48694,Conservative,Labour,21794,18061,44.8,3733,7.67,65.4,43.5,56.5,13.0,Labour
Isle of Wight,South East England,28591.0,8984.0,14888.0,5235.0,,9404.0,,,,,,,,,3198.0,70300,Conservative,UKIP,28591,14888,40.7,13703,19.49,64.6,38.1,61.9,23.8,Conservative
Islington North,London,8465.0,29659.0,1971.0,3984.0,,5043.0,,,,,,,,,112.0,49234,Labour,Conservative,29659,8465,60.2,21194,43.05,67.1,78.4,21.6,-56.8,Labour
Islington South and Finsbury,London,9839.0,22547.0,3375.0,4829.0,,3371.0,,,,,,,,,309.0,44270,Labour,Conservative,22547,9839,50.9,12708,28.71,65.0,71.7,28.3,-43.4,Labour
Islwyn,Wales,5366.0,17336.0,6932.0,950.0,,659.0,,3794.0,,,,,,,364.0,35401,Labour,UKIP,17336,6932,49.0,10404,29.39,63.6,45.3,58.8,13.5,Labour
Jarrow,North East England,6584.0,21464.0,7583.0,1238.0,,1310.0,,,,,,,,,385.0,38564,Labour,UKIP,21464,7583,55.7,13881,35.99,60.4,38.4,61.6,23.2,Labour
Keighley,Yorkshire and the Humber,21766.0,18713.0,5662.0,1321.0,,1661.0,,,,,,,,,,49123,Conservative,Labour,21766,18713,44.3,3053,6.22,71.3,46.7,53.3,6.6,Labour
Kenilworth and Southam,West Midlands,28474.0,7472.0,5467.0,4913.0,,1956.0,,,,,,,,,509.0,48791,Conservative,Labour,28474,7472,58.4,21002,43.04,74.8,53.5,46.5,-7.0,Conservative
Kensington,London,18199.0,10838.0,1557.0,1962.0,,1765.0,,,,,,,,,507.0,34828,Conservative,Labour,18199,10838,52.3,7361,21.14,56.8,68.7,31.3,-37.4,Labour
Kettering,East Midlands,24467.0,11877.0,7600.0,1490.0,,1633.0,,,,,,,,,151.0,47218,Conservative,Labour,24467,11877,51.8,12590,26.66,67.3,39.0,61.0,22.0,Conservative
Kilmarnock and Loudoun,Scotland,6752.0,16362.0,,789.0,30000.0,,,,,,,,,,,53903,SNP,Labour,30000,16362,55.7,13638,25.3,71.6,60.4,39.6,-20.8,SNP
Kingston and Surbiton,London,23249.0,8574.0,4321.0,20415.0,,2322.0,,,,,,,,,372.0,59253,Conservative,Liberal Democrat,23249,20415,39.2,2834,4.78,72.9,58.5,41.5,-17.0,Liberal Democrat
Kingston upon Hull East,Yorkshire and the Humber,5593.0,18180.0,7861.0,2294.0,,806.0,,,,,,,,,410.0,35144,Labour,UKIP,18180,7861,51.7,10319,29.36,53.6,27.4,72.6,45.2,Labour
Kingston upon Hull North,Yorkshire and the Humber,5306.0,18661.0,5762.0,3175.0,,2066.0,,,,,,,,,366.0,35336,Labour,UKIP,18661,5762,52.8,12899,36.5,55.5,40.1,59.9,19.8,Labour
Kingston upon Hull West and Hessle,Yorkshire and the Humber,5561.0,15646.0,6313.0,3169.0,,943.0,,,,,,,,,171.0,31803,Labour,UKIP,15646,6313,49.2,9333,29.35,53.9,32.2,67.8,35.6,Labour
Kingswood,South West England,23252.0,14246.0,7133.0,1827.0,,1370.0,,,,,,,,,297.0,48125,Conservative,Labour,23252,14246,48.3,9006,18.71,70.8,43.2,56.8,13.6,Conservative
Kirkcaldy and Cowdenbeath,Scotland,5223.0,17654.0,1237.0,1150.0,27628.0,,,,,,,,,,,52892,SNP,Labour,27628,17654,52.2,9974,18.86,69.6,58.4,41.6,-16.8,Labour
Knowsley,North West England,3367.0,39628.0,4973.0,1490.0,,1270.0,,,,,,,,,,50728,Labour,UKIP,39628,4973,78.1,34655,68.32,64.1,47.6,52.4,4.8,Labour
Lagan Valley,Northern Ireland,654.0,,2200.0,,,,19055.0,,1144.0,6055.0,2500.0,5544.0,756.0,,1887.0,39795,Democratic Unionist,Ulster Unionist,19055,6055,47.9,13000,32.67,55.9,46.9,53.1,6.2,Democratic Unionist
Lanark and Hamilton East,Scotland,8772.0,16876.0,1431.0,1203.0,26976.0,,,,,,,,,,,55258,SNP,Labour,26976,16876,48.8,10100,18.28,69.1,64.6,35.4,-29.2,SNP
Lancaster and Fleetwood,North West England,16378.0,17643.0,4060.0,1390.0,,2093.0,,,,,,,,,174.0,41738,Labour,Conservative,17643,16378,42.3,1265,3.03,68.6,49.1,50.9,1.8,Labour
Leeds Central,Yorkshire and the Humber,7791.0,24758.0,7082.0,1529.0,,3558.0,,,,,,,,,330.0,45048,Labour,Conservative,24758,7791,55.0,16967,37.66,55.1,52.4,47.4,-5.0,Labour
Leeds East,Yorkshire and the Humber,7997.0,20530.0,7256.0,1296.0,,1117.0,,,,,,,,,,38196,Labour,Conservative,20530,7997,53.7,12533,32.81,59.0,39.1,60.9,21.8,Labour
Leeds North East,Yorkshire and the Humber,15887.0,23137.0,3706.0,2569.0,,2541.0,,,,,,,,,451.0,48291,Labour,Conservative,23137,15887,47.9,7250,15.01,69.9,62.7,37.3,-25.4,Labour
Leeds North West,Yorkshire and the Humber,8083.0,13041.0,2997.0,15948.0,,3042.0,,,,,,,,,246.0,43357,Liberal Democrat,Labour,15948,13041,36.8,2907,6.7,70.0,64.7,35.3,-29.4,Labour
Leeds West,Yorkshire and the Humber,7729.0,18456.0,7104.0,1495.0,,3217.0,,,,,,,,,422.0,38423,Labour,Conservative,18456,7729,48.0,10727,27.92,59.2,45.1,54.9,9.8,Labour
Leicester East,East Midlands,11034.0,29386.0,4290.0,1233.0,,1468.0,,,,,,,,,657.0,48068,Labour,Conservative,29386,11034,61.1,18352,38.18,63.7,46.9,53.1,6.2,Labour
Leicester South,East Midlands,9628.0,27473.0,3832.0,2127.0,,2533.0,,,,,,,,,349.0,45942,Labour,Conservative,27473,9628,59.8,17845,38.84,62.5,57.5,42.5,-15.0,Labour
Leicester West,East Midlands,8848.0,16051.0,5950.0,1507.0,,1878.0,,,,,,,,,288.0,34522,Labour,Conservative,16051,8848,46.5,7203,20.86,54.6,48.4,51.6,3.2,Labour
Leigh,North West England,10216.0,24312.0,8903.0,1150.0,,,,,,,,,,,542.0,45123,Labour,Conservative,24312,10216,53.9,14096,31.24,59.4,36.6,63.4,26.8,Labour
Lewes,South East England,19206.0,5000.0,5427.0,18123.0,,2784.0,,,,,,,,,,50540,Conservative,Liberal Democrat,19206,18123,38.0,1083,2.14,72.7,53.1,46.9,-6.2,Conservative
Lewisham East,London,9574.0,23907.0,3886.0,2455.0,,2429.0,,,,,,,,,672.0,42923,Labour,Conservative,23907,9574,55.7,14333,33.39,58.5,64.6,35.4,-29.2,Labour
Lewisham West and Penge,London,11633.0,24347.0,3764.0,3709.0,,4077.0,,,,,,,,,595.0,48125,Labour,Conservative,24347,11633,50.6,12714,26.42,66.6,65.6,34.4,-31.2,Labour
Lewisham Deptford,London,7056.0,28572.0,2013.0,2497.0,,5932.0,,,,,,,,,1356.0,47426,Labour,Conservative,28572,7056,60.2,21516,45.37,64.6,75.4,24.6,-50.8,Labour
Leyton and Wanstead,London,8939.0,23858.0,2341.0,2304.0,,2974.0,,,,,,,,,289.0,40705,Labour,Conservative,23858,8939,58.6,14919,36.65,62.9,62.9,37.1,-25.8,Labour
Lichfield,West Midlands,28389.0,10200.0,8082.0,2700.0,,1976.0,,,,,,,,,120.0,51467,Conservative,Labour,28389,10200,55.2,18189,35.34,61.8,42.5,57.5,15.0,Conservative
Lincoln,East Midlands,19976.0,18533.0,5721.0,1992.0,,,,,,,,,,,630.0,46852,Conservative,Labour,19976,18533,42.6,1443,3.08,63.2,42.7,57.3,14.6,Labour
Linlithgow and East Falkirk,Scotland,7384.0,19121.0,1682.0,1252.0,32055.0,,,,,,,,,,103.0,61597,SNP,Labour,32055,19121,52.03,12934,21.0,70.8,58.4,41.6,-16.8,SNP
Liverpool Riverside,North West England,4245.0,29835.0,2510.0,1719.0,,5372.0,,,,,,,,,582.0,44263,Labour,Green,29835,5372,67.4,24463,55.27,62.4,73.2,26.8,-46.4,Labour
Liverpool Walton,North West England,1802.0,31222.0,3445.0,899.0,,956.0,,,,,,,,,79.0,38403,Labour,UKIP,31222,3445,81.3,27777,72.33,61.1,46.2,53.8,7.6,Labour
Liverpool Wavertree,North West England,4098.0,28401.0,3375.0,2454.0,,2140.0,,,,,,,,,506.0,40974,Labour,Conservative,28401,4098,69.3,24303,59.31,66.4,64.2,35.8,-28.4,Labour
Liverpool West Derby,North West England,2710.0,30842.0,3475.0,959.0,,996.0,,,,,,,,,2049.0,41031,Labour,UKIP,30842,3475,75.2,27367,66.7,64.2,49.8,50.2,0.4,Labour
Livingston,Scotland,5929.0,15893.0,1757.0,1232.0,32736.0,,,,,,,,,,,57547,SNP,Labour,32736,15893,56.9,16843,29.27,69.9,56.2,43.8,-12.4,SNP
Llanelli,Wales,5534.0,15948.0,6269.0,751.0,,689.0,,8853.0,,,,,,,530.0,38574,Labour,Plaid Cymru,15948,8853,41.3,7095,18.39,64.5,44.6,55.4,10.8,Labour
Loughborough,East Midlands,25762.0,16579.0,5704.0,2130.0,,1845.0,,,,,,,,,,52020,Conservative,Labour,25762,16579,49.5,9183,17.65,71.6,50.4,49.6,-0.8,Conservative
Louth and Horncastle,East Midlands,25755.0,9077.0,10778.0,2255.0,,1549.0,,,,,,,,,922.0,50336,Conservative,UKIP,25755,10778,51.2,14977,29.75,67.8,30.6,69.4,38.8,Conservative
Ludlow,West Midlands,26093.0,5902.0,7164.0,6469.0,,2435.0,,,,,,,,,,48063,Conservative,UKIP,26093,7164,54.3,18929,39.38,72.4,41.5,58.5,17.0,Conservative
Luton North,East of England,12739.0,22243.0,5318.0,1299.0,,972.0,,,,,,,,,,42571,Labour,Conservative,22243,12739,52.2,9504,22.33,64.0,41.8,58.2,16.4,Labour
Luton South,East of England,12949.0,18660.0,5129.0,3183.0,,1237.0,,,,,,,900.0,,158.0,42216,Labour,Conservative,18660,12949,44.2,5711,13.53,62.8,44.6,55.4,10.8,Labour
Macclesfield,North West England,26063.0,11252.0,6037.0,3842.0,,2404.0,,,,,,,,,,49598,Conservative,Labour,26063,11252,52.5,14811,29.86,69.3,51.9,48.1,-3.8,Conservative
Maidenhead,South East England,35453.0,6394.0,4539.0,5337.0,,1915.0,,,,,,,,,217.0,53855,Conservative,Labour,35453,6394,65.8,29059,53.96,71.8,54.6,45.4,-9.2,Conservative
Maidstone and The Weald,South East England,22745.0,5268.0,7930.0,12036.0,,1396.0,,,,,,,,,635.0,50010,Conservative,Liberal Democrat,22745,12036,45.5,10709,21.41,68.3,44.2,55.8,11.6,Conservative
Makerfield,North West England,8752.0,23208.0,10053.0,1639.0,,1136.0,,,,,,,,,,44788,Labour,UKIP,23208,10053,51.8,13155,29.37,60.2,35.0,65.0,30.0,Labour
Maldon,East of England,29112.0,5690.0,7042.0,2157.0,,1504.0,,,,,,,2424.0,,116.0,48045,Conservative,UKIP,29112,7042,60.6,22070,45.94,69.2,38.7,61.3,22.6,Conservative
Manchester Central,North West England,6133.0,27772.0,5033.0,1867.0,,3838.0,,,,,,,,,688.0,45331,Labour,Conservative,27772,6133,61.3,21639,47.74,52.7,63.4,36.6,-26.8,Labour
Manchester Gorton,North West England,4063.0,28187.0,3434.0,1782.0,,4108.0,,,,,,,,,445.0,42019,Labour,Green,28187,4108,67.1,24079,57.31,57.6,62.1,37.9,-24.2,Labour
Manchester Withington,North West England,4872.0,26843.0,2172.0,11970.0,,4048.0,,,,,,,,,61.0,49966,Labour,Liberal Democrat,26843,11970,53.7,14873,29.77,62.0,73.7,26.3,-47.4,Labour
Mansfield,East Midlands,13288.0,18603.0,11850.0,1642.0,,1486.0,,,,,,,,,324.0,47193,Labour,Conservative,18603,13288,39.4,5315,11.26,60.9,29.1,70.9,41.8,Conservative
Meon Valley,South East England,31578.0,5656.0,7665.0,4987.0,,1831.0,,,,,,,,,,51717,Conservative,UKIP,31578,7665,61.1,23913,46.24,71.1,47.1,52.9,5.8,Conservative
Meriden,West Midlands,28791.0,9996.0,8908.0,2638.0,,2170.0,,,,,,,,,100.0,52603,Conservative,Labour,28791,9996,54.7,18795,35.73,64.9,42.0,58.0,16.0,Conservative
Merthyr Tydfil and Rhymney,Wales,3292.0,17619.0,6106.0,1351.0,,603.0,,3099.0,,,,,459.0,,186.0,32715,Labour,UKIP,17619,6106,53.9,11513,35.19,53.0,41.6,58.4,16.8,Labour
Mid Bedfordshire,East of England,32544.0,9217.0,8966.0,4193.0,,2462.0,,,,,,,,,678.0,58060,Conservative,Labour,32544,9217,56.1,23327,40.18,71.6,47.8,52.2,4.4,Conservative
Mid Derbyshire,East Midlands,24908.0,12134.0,6497.0,2292.0,,1898.0,,,,,,,,,,47729,Conservative,Labour,24908,12134,52.2,12774,26.76,70.6,47.5,52.5,5.0,Conservative
Mid Dorset and North Poole,South West England,23639.0,2767.0,5663.0,13109.0,,1321.0,,,,,,,,,,46499,Conservative,Liberal Democrat,23639,13109,50.8,10530,22.65,67.5,42.1,57.9,15.8,Conservative
Mid Norfolk,East of England,27206.0,9585.0,9930.0,3300.0,,2191.0,,,,,,,,,,52212,Conservative,UKIP,27206,9930,52.1,17276,33.09,67.8,39.5,60.5,21.0,Conservative
Mid Sussex,South East England,32268.0,7982.0,6898.0,6604.0,,2453.0,,,,,,,,,1287.0,57492,Conservative,Labour,32268,7982,56.1,24286,42.24,72.3,53.4,46.6,-6.8,Conservative
Mid Ulster,Northern Ireland,120.0,,863.0,,,,5465.0,,19935.0,6318.0,5055.0,778.0,,,2388.0,40922,Sinn Fein,Ulster Unionist,19935,6318,48.7,13617,33.28,60.3,60.4,39.6,-20.8,Sinn Fein
Mid Worcestershire,West Midlands,29763.0,7548.0,9231.0,3750.0,,1933.0,,,,,,,,,,52225,Conservative,UKIP,29763,9231,57.0,20532,39.31,71.5,41.1,58.9,17.8,Conservative
Middlesbrough,North East England,5388.0,18584.0,6107.0,1220.0,,1407.0,,,,,,,,,,32706,Labour,UKIP,18584,6107,56.8,12477,38.15,52.9,34.0,66.0,32.0,Labour
Middlesbrough South and East Cleveland,North East England,16925.0,19193.0,6935.0,1564.0,,1060.0,,,,,,,,,,45677,Labour,Conservative,19193,16925,42.0,2268,4.97,64.2,35.0,65.0,30.0,Conservative
Midlothian,Scotland,5760.0,14594.0,1173.0,1132.0,24453.0,1219.0,,,,,,,,,,48331,SNP,Labour,24453,14594,50.6,9859,20.4,71.2,62.1,37.9,-24.2,Labour
Milton Keynes North,South East England,27244.0,17491.0,6852.0,3575.0,,2255.0,,,,,,,,,275.0,57692,Conservative,Labour,27244,17491,47.2,9753,16.91,68.0,50.2,49.8,-0.4,Conservative
Milton Keynes South,South East England,27601.0,18929.0,7803.0,2309.0,,1936.0,,,,,,,,,371.0,58949,Conservative,Labour,27601,18929,46.8,8672,14.71,67.0,47.1,52.9,5.8,Conservative
Mitcham and Morden,London,10458.0,27380.0,4287.0,1378.0,,1422.0,,,,,,,,,217.0,45142,Labour,Conservative,27380,10458,60.7,16922,37.49,65.9,55.3,44.7,-10.6,Labour
Mole Valley,South East England,33434.0,4565.0,6181.0,7981.0,,2979.0,,,,,,,,,,55140,Conservative,Liberal Democrat,33434,7981,60.6,25453,46.16,74.2,52.5,47.5,-5.0,Conservative
Monmouth,Wales,23701.0,12719.0,4942.0,2496.0,,1629.0,,1875.0,,,,,,,100.0,47462,Conservative,Labour,23701,12719,49.9,10982,23.14,76.2,52.2,47.8,-4.4,Conservative
Montgomeryshire,Wales,15204.0,1900.0,3769.0,9879.0,,1260.0,,1745.0,,,,,,,,33757,Conservative,Liberal Democrat,15204,9879,45.0,5325,15.77,69.3,44.1,55.9,11.8,Conservative
Moray,Scotland,15319.0,4898.0,1939.0,1395.0,24384.0,1345.0,,,,,,,,,,49280,SNP,Conservative,24384,15319,49.5,9065,18.39,68.7,50.1,49.9,-0.2,Conservative
Morecambe and Lunesdale,North West England,19691.0,15101.0,5358.0,1612.0,,1395.0,,,,,,,,,85.0,43242,Conservative,Labour,19691,15101,45.5,4590,10.61,65.0,41.1,58.9,17.8,Conservative
Morley and Outwood,Yorkshire and the Humber,18776.0,18354.0,7951.0,1426.0,,1264.0,,,,,,,,,479.0,48250,Conservative,Labour,18776,18354,38.9,422,0.87,63.3,40.3,59.7,19.4,Conservative
Motherwell and Wishaw,Scotland,3695.0,15377.0,1289.0,601.0,27275.0,,,,,,,,,,,48237,SNP,Labour,27275,15377,56.5,11898,24.67,68.6,63.1,36.9,-26.2,SNP
Na h-Eileanan an Iar,Scotland,1215.0,4560.0,,456.0,8662.0,,,,,,,,,,1045.0,15938,SNP,Labour,8662,4560,54.3,4102,25.74,73.2,55.2,44.8,-10.4,SNP
Neath,Wales,5691.0,16270.0,6094.0,1173.0,,1185.0,,6722.0,,,,,,,,37135,Labour,Plaid Cymru,16270,6722,43.8,9548,25.71,66.2,45.8,54.2,8.4,Labour
New Forest East,South East England,27819.0,6018.0,8657.0,4626.0,,2327.0,,,,,,,,,,49447,Conservative,UKIP,27819,8657,56.3,19162,38.75,68.0,40.5,59.5,19.0,Conservative
New Forest West,South East England,28420.0,5133.0,7816.0,3293.0,,2748.0,,,,,,,,,,47410,Conservative,UKIP,28420,7816,59.9,20604,43.46,69.2,44.2,55.8,11.6,Conservative
Newark,East Midlands,29834.0,11360.0,6294.0,2385.0,,1792.0,,,,,,,,,637.0,52302,Conservative,Labour,29834,11360,57.0,18474,35.32,70.9,44.3,55.7,11.4,Conservative
Newbury,South East England,34973.0,4837.0,6195.0,8605.0,,2324.0,,,,,,,,,366.0,57300,Conservative,Liberal Democrat,34973,8605,61.0,26368,46.02,72.5,52.5,47.5,-5.0,Conservative
Newcastle upon Tyne Central,North East England,6628.0,19301.0,5214.0,2218.0,,1724.0,,,,,,,,,,35085,Labour,Conservative,19301,6628,55.0,12673,36.12,57.5,51.7,48.3,-3.4,Labour
Newcastle upon Tyne East,North East England,6884.0,19378.0,4910.0,4332.0,,3426.0,,,,,,,,,292.0,39222,Labour,Conservative,19378,6884,49.4,12494,31.85,52.9,58.9,41.1,-17.8,Labour
Newcastle upon Tyne North,North East England,10536.0,20689.0,7447.0,4366.0,,1515.0,,,,,,,,,338.0,44891,Labour,Conservative,20689,10536,46.1,10153,22.62,66.7,42.9,57.1,14.2,Labour
Newcastle-under-Lyme,West Midlands,15870.0,16520.0,7252.0,1826.0,,1246.0,,,,,,,,,283.0,42997,Labour,Conservative,16520,15870,38.4,650,1.51,64.4,38.4,61.6,23.2,Labour
Newport East,Wales,9585.0,14290.0,6466.0,2251.0,,887.0,,1231.0,,,,,,,398.0,35108,Labour,Conservative,14290,9585,40.7,4705,13.4,62.7,39.8,60.2,20.4,Labour
Newport West,Wales,13123.0,16633.0,6134.0,1581.0,,1272.0,,1604.0,,,,,,,,40347,Labour,Conservative,16633,13123,41.2,3510,8.7,64.9,47.0,53.0,6.0,Labour
Newry and Armagh,Northern Ireland,210.0,,,,,,,,20488.0,16312.0,12026.0,841.0,,,,49877,Sinn Fein,Ulster Unionist,20488,16312,41.1,4176,8.37,64.2,62.9,37.1,-25.8,Sinn Fein
Newton Abbot,South West England,22794.0,4736.0,6726.0,11506.0,,2216.0,,,,,,,,,221.0,48199,Conservative,Liberal Democrat,22794,11506,47.3,11288,23.42,69.1,43.9,56.1,12.2,Conservative
"Normanton, Pontefract and Castleford",Yorkshire and the Humber,9569.0,25213.0,9785.0,1330.0,,,,,,,,,,,,45897,Labour,UKIP,25213,9785,54.9,15428,33.61,55.6,30.7,69.3,38.6,Labour
North Antrim,Northern Ireland,368.0,,1341.0,,,,18107.0,,5143.0,5054.0,2925.0,2351.0,,,6618.0,41907,Democratic Unionist,Others,18107,6618,43.2,11489,27.42,55.2,37.8,62.2,24.4,Democratic Unionist
North Ayrshire and Arran,Scotland,7968.0,15068.0,1296.0,896.0,28641.0,,,,,,,,,,,53869,SNP,Labour,28641,15068,53.2,13573,25.2,71.1,57.8,42.2,-15.6,SNP
North Cornwall,South West England,21689.0,2621.0,6121.0,15068.0,,2063.0,,,,,,,,,683.0,48245,Conservative,Liberal Democrat,21689,15068,45.0,6621,13.72,,40.5,59.5,19.0,Conservative
North Devon,South West England,22341.0,3699.0,7719.0,15405.0,,3018.0,,,,,,,,,138.0,52320,Conservative,Liberal Democrat,22341,15405,42.7,6936,13.26,70.0,43.0,57.0,14.0,Conservative
North Dorset,South West England,30227.0,4785.0,9109.0,6226.0,,3038.0,,,,,,,,,,53385,Conservative,UKIP,30227,9109,56.6,21118,39.56,71.6,43.6,56.4,12.8,Conservative
North Down,Northern Ireland,1593.0,,1482.0,,,1958.0,8487.0,,273.0,,355.0,3086.0,17689.0,,1024.0,35947,Independent,Democratic Unionist,17689,8487,49.2,9202,25.6,56.0,52.4,47.6,-4.8,Independent
North Durham,North East England,8403.0,22047.0,6404.0,2046.0,,1246.0,,,,,,,,,,40146,Labour,Conservative,22047,8403,54.9,13644,33.99,61.4,39.9,60.1,20.2,Labour
North East Bedfordshire,East of England,34891.0,9247.0,8579.0,3418.0,,2537.0,,,,,,,,,,58672,Conservative,Labour,34891,9247,59.5,25644,43.71,70.2,46.8,53.2,6.4,Conservative
North East Cambridgeshire,East of England,28524.0,7476.0,11650.0,2314.0,,1816.0,,,,,,,,,,51780,Conservative,UKIP,28524,11650,55.1,16874,32.59,62.4,30.6,69.4,38.8,Conservative
North East Derbyshire,East Midlands,17605.0,19488.0,7631.0,2004.0,,1059.0,,,,,,,,,161.0,47948,Labour,Conservative,19488,17605,40.6,1883,3.93,67.1,37.9,62.1,24.2,Conservative
North East Fife,Scotland,7373.0,3476.0,,14179.0,18523.0,1387.0,,,,,,,325.0,,,45263,SNP,Liberal Democrat,18523,14179,40.9,4344,9.6,73.0,61.9,38.1,-23.8,SNP
North East Hampshire,South East England,35573.0,5290.0,4732.0,5657.0,,2364.0,,,,,,,,,384.0,54000,Conservative,Liberal Democrat,35573,5657,65.9,29916,55.4,72.9,54.1,45.9,-8.2,Conservative
North East Hertfordshire,East of England,28949.0,9869.0,6728.0,3952.0,,2789.0,,,,,,,,,,52287,Conservative,Labour,28949,9869,55.4,19080,36.49,70.7,48.7,51.3,2.6,Conservative
North East Somerset,South West England,25439.0,12690.0,6150.0,4029.0,,2802.0,,,,,,,,,,51110,Conservative,Labour,25439,12690,49.8,12749,24.94,73.7,47.9,52.1,4.2,Conservative
North Herefordshire,West Midlands,26716.0,5478.0,6720.0,5768.0,,3341.0,,,,,,,,,,48023,Conservative,UKIP,26716,6720,55.6,19996,41.64,72.0,41.8,58.2,16.4,Conservative
North Norfolk,East of England,15256.0,5043.0,8328.0,19299.0,,1488.0,,,,,,,,,,49414,Liberal Democrat,Conservative,19299,15256,39.1,4043,8.18,71.7,41.8,58.2,16.4,Liberal Democrat
North Shropshire,West Midlands,27041.0,10547.0,9262.0,3148.0,,2575.0,,,,,,,,,,52573,Conservative,Labour,27041,10547,51.4,16494,31.37,66.6,40.6,59.4,18.8,Conservative
North Somerset,South West England,31540.0,8441.0,7669.0,7486.0,,3806.0,,,,,,,,,,58942,Conservative,Labour,31540,8441,53.5,23099,39.19,73.6,52.1,47.9,-4.2,Conservative
